1000 2000
167 99 32
584 804 85
819 112 60
198 320 71
253 918 20
842 87 87
631 765 53
639 25 57
123 120 95
876 375 33
823 331 44
540 583 71
884 691 37
482 606 51
947 588 75
712 684 22
735 835 32
339 945 27
612 36 16
168 678 6
441 737 63
834 809 96
412 873 48
83 218 77
128 458 18
240 595 22
190 140 100
789 354 17
138 356 80
705 984 34
990 66 74
662 669 48
108 445 6
105 63 9
370 97 81
282 924 16
127 288 48
961 575 66
759 784 36
310 845 68
285 933 18
171 937 69
752 784 46
622 664 95
18 883 44
38 19 11
209 104 30
933 838 59
638 477 12
128 704 80
450 192 99
186 665 13
799 878 85
246 243 59
55 460 39
691 438 92
132 554 13
554 43 10
611 788 33
545 246 7
981 723 12
74 272 98
700 557 87
120 116 41
551 37 55
320 813 14
393 407 53
226 225 76
756 495 100
18 6 20
16 836 91
239 435 42
479 759 96
79 609 20
548 192 25
363 339 85
229 520 87
827 522 15
307 386 84
171 773 46
600 426 17
425 551 39
982 383 27
198 442 18
558 582 26
923 963 93
576 902 85
116 929 8
295 301 88
368 574 39
625 109 22
206 996 5
588 109 57
290 978 32
572 782 25
474 54 70
659 983 40
129 448 99
188 158 32
193 881 44
72 456 61
41 234 67
46 636 14
767 134 35
166 138 100
380 515 63
255 681 58
598 838 62
899 645 90
229 641 57
85 137 82
183 652 91
890 264 72
274 178 9
675 693 68
926 61 84
802 982 33
572 125 32
133 675 81
690 391 61
5 343 52
932 104 55
539 700 7
910 46 40
52 445 20
149 288 26
539 369 48
831 702 6
630 839 99
545 287 69
767 722 61
482 234 31
351 814 86
258 741 6
701 796 46
329 666 71
846 154 78
567 961 30
532 677 93
851 563 18
623 848 24
344 754 70
403 6 78
325 520 50
224 898 35
159 574 90
45 589 9
928 270 15
344 594 23
724 781 14
977 198 19
489 837 54
58 612 7
53 270 91
974 325 83
519 754 47
952 920 12
14 639 66
315 361 73
924 809 50
586 690 33
316 643 24
316 263 65
67 527 78
886 502 79
833 260 46
376 584 98
115 581 50
98 883 81
500 849 4
232 66 38
126 920 40
374 27 22
432 138 7
337 791 78
704 685 15
494 436 15
5 478 34
601 941 95
271 961 92
147 174 80
832 150 26
640 715 80
916 727 57
785 849 22
556 171 58
333 596 88
291 682 75
284 362 10
539 43 22
794 154 43
749 218 55
212 298 38
364 810 15
938 144 100
127 75 8
880 68 89
218 771 1
821 581 14
879 856 24
688 641 35
365 766 82
190 50 13
355 911 60
675 714 47
920 612 55
763 840 33
333 654 6
687 402 92
376 655 88
203 304 10
711 538 66
247 61 15
605 589 44
534 343 99
704 488 57
671 768 98
583 171 38
61 212 92
368 172 67
420 262 2
279 607 20
274 921 38
589 654 3
32 101 2
536 623 79
291 387 86
595 372 81
818 707 4
16 270 41
319 551 47
321 410 84
74 913 75
305 621 71
426 906 65
990 582 91
658 330 36
62 526 46
901 796 20
736 615 90
472 344 74
235 363 57
254 273 82
613 422 74
753 372 84
349 302 20
159 773 56
280 836 65
664 999 57
441 99 24
26 771 51
241 130 15
53 178 99
805 817 31
81 161 83
825 800 71
314 46 74
153 278 8
107 122 3
697 245 82
406 697 95
1 32 48
514 633 83
47 485 24
933 486 65
633 312 80
449 390 55
788 695 60
967 287 84
692 50 72
611 447 41
684 61 29
381 970 62
738 56 40
719 166 34
899 823 43
340 990 68
205 749 94
911 849 31
201 720 39
384 665 56
983 150 60
999 963 11
394 802 44
354 7 29
787 339 68
553 94 73
773 653 59
141 737 28
757 739 69
23 211 22
215 137 10
50 175 63
104 774 64
514 975 89
843 221 54
140 620 57
731 589 37
375 34 7
16 848 79
951 157 36
752 53 53
449 206 63
38 604 25
194 973 10
698 345 10
913 945 60
567 770 65
532 984 51
329 221 14
722 800 77
191 64 85
547 626 64
12 320 13
80 514 98
752 407 25
695 540 49
251 18 65
312 69 16
900 872 43
294 130 97
432 987 11
458 912 36
791 910 18
545 404 12
744 236 4
379 981 42
657 703 99
413 719 19
882 999 82
39 746 65
982 412 93
461 727 87
92 691 30
731 748 59
50 807 40
275 196 91
782 771 55
177 831 46
932 883 29
661 822 8
725 396 89
892 934 13
413 895 88
892 70 95
989 229 16
34 746 45
997 700 51
825 395 55
538 393 63
65 625 24
3 534 51
409 13 22
364 617 6
689 494 45
199 55 33
544 2 40
598 254 76
425 240 44
670 478 4
410 331 43
723 211 66
38 410 89
282 374 33
181 842 98
861 631 29
526 877 38
323 227 60
571 731 94
922 432 55
674 621 65
510 807 42
428 843 15
732 940 30
993 453 35
592 570 84
664 929 31
525 898 28
641 592 32
295 871 57
730 768 42
900 926 23
391 815 38
830 515 23
426 911 41
56 578 41
504 825 21
306 24 80
706 142 54
647 679 81
96 476 13
286 503 3
440 60 89
49 356 18
759 382 34
184 308 44
563 129 92
527 126 16
708 662 9
870 987 94
159 358 45
275 15 81
609 925 12
505 152 89
547 700 1
588 338 81
133 980 56
548 324 90
187 720 38
288 266 66
776 233 63
176 187 99
297 745 59
493 579 92
144 882 89
664 50 18
596 10 27
813 256 85
290 846 96
108 789 53
619 131 48
661 421 41
876 476 64
349 22 17
979 751 9
881 166 85
935 225 81
380 177 9
588 978 82
254 644 34
130 91 51
119 268 98
987 617 2
573 137 30
33 420 73
745 340 65
721 405 10
216 937 70
124 244 43
916 626 79
937 21 74
179 777 18
155 119 82
238 444 26
775 72 33
145 405 66
47 495 53
638 687 70
556 812 49
673 649 14
340 150 21
2 50 31
239 302 18
677 626 90
305 100 6
798 870 6
311 287 87
830 189 44
834 161 42
411 329 57
651 398 56
198 125 7
668 478 69
497 921 92
682 224 15
786 987 81
423 477 30
482 597 42
503 769 85
443 103 45
122 139 96
709 263 82
301 734 90
25 540 8
103 391 88
357 813 57
754 545 76
148 360 85
264 633 91
668 415 53
958 560 65
480 697 3
601 680 85
638 675 19
323 235 25
795 171 67
740 209 85
494 843 89
647 16 87
132 558 99
842 400 85
807 679 62
52 28 21
339 557 47
623 734 22
545 295 16
914 656 26
593 338 27
678 582 96
625 856 85
371 677 35
875 350 2
171 476 83
59 768 10
61 214 69
199 718 99
96 565 62
655 380 57
941 394 10
898 303 21
350 252 62
933 774 77
742 690 73
36 530 45
517 519 92
150 604 23
858 637 97
131 347 24
511 614 8
313 418 40
0 326 97
928 724 50
766 379 61
190 321 35
20 366 29
473 640 11
349 204 82
787 537 66
237 3 25
867 249 96
355 114 39
777 978 61
704 509 87
58 123 90
755 380 97
562 576 19
683 297 17
808 795 16
809 76 48
697 244 17
444 749 24
670 232 35
231 973 62
446 903 92
632 303 67
252 650 7
206 279 97
661 465 23
952 505 89
336 912 49
887 527 39
338 719 94
14 365 29
909 859 28
920 751 7
395 82 45
446 265 53
667 489 77
243 214 61
538 220 14
720 775 42
22 581 75
82 989 90
950 645 79
666 652 30
253 906 32
775 518 29
101 748 40
396 388 81
288 959 74
111 338 29
320 905 85
627 750 13
654 45 81
966 711 95
178 926 35
199 113 13
577 364 35
125 707 98
631 414 82
961 867 77
216 684 10
376 401 75
566 133 66
309 801 88
216 168 70
460 510 63
610 806 31
286 600 25
711 301 59
310 167 19
419 332 15
999 23 59
93 417 1
630 18 34
844 295 70
934 559 19
848 551 24
417 263 71
976 791 99
243 249 80
92 119 6
149 354 11
206 455 42
239 218 79
301 603 1
783 983 98
911 457 34
689 486 30
681 692 47
33 697 9
136 687 20
130 358 54
318 748 32
295 375 75
184 401 42
432 23 20
644 45 15
879 773 9
120 881 58
192 376 96
911 56 44
432 764 89
153 291 7
758 767 42
373 649 30
283 646 31
447 883 31
391 186 87
671 957 58
454 506 20
401 918 62
582 806 8
423 742 28
976 791 8
993 570 83
43 365 22
638 613 26
606 448 30
878 841 93
759 960 29
656 55 51
779 531 87
756 672 6
174 423 20
677 852 21
806 582 43
645 422 40
269 545 90
510 785 64
605 912 57
183 247 60
49 589 10
168 309 20
470 600 86
129 928 80
992 452 2
17 953 33
974 238 41
147 516 21
81 992 74
894 673 74
435 699 70
114 997 7
135 589 96
14 216 7
547 671 93
764 790 57
204 315 59
310 697 92
847 182 71
974 701 96
696 197 32
569 312 40
802 110 68
328 509 19
561 290 62
778 223 23
282 833 59
257 241 25
870 693 3
472 957 81
121 523 10
525 948 64
388 763 97
527 361 19
173 472 87
79 293 96
642 344 26
214 389 83
603 796 48
813 984 72
184 366 46
353 479 32
706 495 8
903 823 76
843 604 48
540 89 28
515 564 73
188 415 87
876 775 5
577 505 47
694 134 50
377 574 39
183 712 18
256 235 22
287 62 71
542 578 79
552 994 45
610 882 13
416 37 88
639 677 57
519 134 77
905 583 17
319 458 61
308 404 63
821 429 2
350 233 17
855 7 86
95 326 37
416 857 40
847 690 84
69 829 11
312 794 57
841 440 98
644 555 49
632 961 31
301 72 10
157 838 96
246 590 95
27 595 14
171 929 69
721 462 45
227 554 40
367 659 50
572 435 74
247 749 18
290 684 5
145 312 90
4 739 63
230 164 76
455 146 31
498 181 17
741 151 88
94 912 29
794 905 49
597 984 18
890 987 20
889 263 80
794 423 79
250 169 29
596 8 88
278 626 71
720 523 83
545 813 64
959 813 3
999 977 76
930 744 35
530 46 53
648 237 13
131 487 63
150 506 91
672 712 6
382 744 92
638 732 75
968 352 9
758 241 27
330 789 92
605 633 94
706 328 4
58 758 83
653 165 7
943 979 84
966 256 45
789 749 27
492 562 46
189 111 68
321 618 45
364 67 77
778 725 60
627 183 92
383 887 71
713 923 16
987 119 57
479 455 74
518 797 45
626 336 73
872 775 26
278 358 8
697 516 76
258 673 37
996 706 81
711 124 7
59 457 81
150 815 50
882 472 87
0 852 26
324 758 72
799 349 85
713 171 11
397 678 89
444 194 52
526 4 15
717 106 9
679 949 32
323 747 63
110 762 44
267 587 63
306 424 72
266 675 36
714 773 45
889 790 10
959 503 33
585 335 19
359 880 77
319 486 36
552 20 87
788 882 18
92 490 14
470 915 11
579 283 95
99 145 63
294 790 99
12 938 38
718 687 19
502 232 9
368 636 94
562 165 3
458 891 10
899 290 88
862 363 69
866 455 5
267 346 91
253 991 96
994 496 89
904 311 92
19 916 85
82 870 10
535 247 82
716 397 87
391 349 47
368 746 55
203 100 35
953 227 14
697 339 52
899 609 38
618 53 98
237 26 29
549 733 97
495 528 21
717 407 49
254 941 18
521 627 41
