40 100
0 7 8
0 21 1
0 28 2
1 8 1
1 11 5
1 22 7
2 9 9
2 12 4
2 18 2
3 4 1
3 17 2
3 26 3
4 5 5
4 23 7
4 38 8
5 15 1
5 27 3
5 35 4
6 11 3
6 15 6
6 32 7
7 17 9
7 25 1
7 31 4
8 13 4
8 26 6
8 37 2
9 12 9
9 18 1
9 29 7
10 14 1
10 22 6
10 24 8
11 19 3
11 33 5
11 39 2
12 31 3
12 38 9
12 39 6
13 20 2
13 25 7
13 37 8
14 16 6
14 28 9
14 36 1
15 21 3
15 22 2
15 32 5
16 19 1
16 20 4
16 34 6
17 27 8
17 30 3
17 36 9
18 23 1
18 33 4
18 39 7
19 28 2
19 34 6
19 37 9
20 23 3
20 35 5
20 38 7
21 25 9
21 32 2
21 39 1
22 26 7
22 30 8
22 31 5
23 24 6
23 29 4
23 34 2
24 33 8
24 35 1
24 39 3
25 26 2
25 30 5
25 37 4
26 32 1
26 33 9
26 38 7
27 31 6
27 34 8
27 35 2
28 29 7
28 36 3
28 38 1
29 36 2
29 37 5
29 39 9
30 31 4
30 34 7
30 35 3
31 33 6
31 36 9
32 35 4
32 38 5
33 39 8
34 37 6
35 36 5
